"Jelentés kezdete","Jelentés vége","Hirdetés neve",Hirdetésmegjelenítés,Eredmények,"Eredmény jelzése","Eredményenkénti költség","Hirdetéssorozat költségkerete","Hirdetéssorozat költségkeretének típusa","Elköltött összeg (HUF)",Megjelenések,Elérés,Gyakoriság,"CPM (1000 megjelenésre jutó költség) (HUF)",Vásárlások,Vége,"Hozzárendelés beállítása",Licitösszeg,Licittípus,"A legutóbbi jelentős módosítás","Minőségi rangsorolás","Aktivitási arányszám szerinti rangsorolás","Konverziós arány szerinti rangsorolás","Hirdetéssorozat neve","Vásárlási hirdetésmegtérülés (ROAS)"  
2023-06-17,2026-07-17,royal6,active,,,,1000,Napi,8315,7487,3600,2.079722,1110.591692,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-07-07T11:46:35+0200,Átlagos,–,–,"Legyél te a kapitány",  
2023-06-17,2026-07-17,royal5,active,,,,1000,Napi,2083,2015,1286,1.566874,1033.746898,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-07-07T11:46:35+0200,–,–,–,"Legyél te a kapitány",  
2023-06-17,2026-07-17,"image - deluxe piknik hajo",not\_delivering,,,,1000,Napi,1344,1981,1471,1.346703,678.44523,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",0,ABSOLUTE\_OCPM,2026-07-07T12:00:45+0200,–,–,–,"image - dluxe piknik hajo",  
2023-06-17,2026-07-17,"Default name - Conversions – uj – Copy - Copy",inactive,,,,"Kampányszintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"\[Siofok, BP\] - \[Szallas, Trivago,\]",  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés",inactive,,,,"Kampányszintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,Interest,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés – másolat",inactive,,,,"Kampányszintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,Interest,  
2023-06-17,2026-07-17,ad1,not\_delivering,5187,actions:link\_click,11.13861577,"Kampányszintű költségkeret használata",0,57776,199323,82373,2.419761,289.86118,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,Interest,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés – másolat – másolat",inactive,,,,"Kampányszintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,Interest,  
2023-06-17,2026-07-17,"royalmediterran.hu - csomagajánlat carousel - rem 180",not\_delivering,,,,410,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"royalmediterran.hu - csomagajánlat carousel - rem 180",  
2023-06-17,2026-07-17,"csomagok\_all in oldalon jártak",not\_delivering,,,,365,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"csomagok\_all in oldalon jártak",  
2023-06-17,2026-07-17,"csomagok\_nászutas csomag oldalon jártak",not\_delivering,,,,365,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"csomagok\_nászutas csomag oldalon jártak",  
2023-06-17,2026-07-17,"csomagok\_romantika és feltöltődés oldalon jártak",not\_delivering,,,,365,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"csomagok\_romantika és feltöltődés oldalon jártak",  
